texto,sector,funcion,actor,instrumento,has_authority
"La COFEPRIS emitirá comunicados sobre riesgos alimentarios.",Inocuidad_alimentaria,comunicacion_riesgo,COFEPRIS,Ley General de Salud,TRUE
"El SHCP asignará recursos extraordinarios para programas de vacunación.",Finanzas_publicas,legislacion_financiamiento,SHCP,Presupuesto de Egresos de la Federación,TRUE
"La SEP implementará capacitación sobre bioseguridad para personal educativo.",Educacion,recursos_humanos,SEP,Ley General de Educación,TRUE
"El InDRE certificará laboratorios privados para diagnóstico molecular.",Ciencia_Tecnologia_Laboratorios,deteccion,InDRE,NOM-087-SSA1-2002,TRUE
"La SSA y la SADER coordinarán medidas contra enfermedades zoonóticas.",Agricultura,coordinacion,SADER,Ley Federal de Sanidad Animal,TRUE
"El IMSS promoverá comunicación sobre higiene y prevención de enfermedades.",Salud_humana,comunicacion_riesgo,IMSS,Ley del Seguro Social,TRUE
"El CNSS activará planes de respuesta conjunta con la Secretaría de Bienestar.",Proteccion_civil,coordinacion,Comité Nacional de Seguridad en Salud,Acuerdo Interinstitucional,TRUE
"El Ejército proporcionará apoyo logístico a hospitales civiles durante desastres.",Defensa_seguridad,respuesta,SEDENA,Ley de Seguridad Nacional,TRUE
"La SEMARNAT evaluará el impacto ambiental de residuos médicos.",Medio_ambiente,amenazas_especificas,SEMARNAT,Ley General del Equilibrio Ecológico y la Protección al Ambiente,TRUE
"La SSA desarrollará ejercicios de simulación con entidades federativas.",Proteccion_civil,preparacion,Secretaría de Salud,Ley General de Protección Civil,TRUE
"El IMSS y la SEP colaborarán en campañas de educación sanitaria.",Educacion,coordinacion,SEP,Ley General de Educación,TRUE
"El SHCP autorizará transferencias presupuestales para adquisición de vacunas.",Finanzas_publicas,legislacion_financiamiento,SHCP,Ley Federal de Presupuesto y Responsabilidad Hacendaria,TRUE
"La SSA difundirá alertas sanitarias internacionales a través de su portal oficial.",Salud_humana,comunicacion_riesgo,Secretaría de Salud,Ley General de Salud,TRUE
"La SADER establecerá medidas de bioseguridad en plantas procesadoras de alimentos.",Inocuidad_alimentaria,deteccion,SADER,Ley Federal de Sanidad Animal,TRUE
"El CNSS realizará evaluaciones anuales de preparación ante emergencias sanitarias.",Proteccion_civil,preparacion,Comité Nacional de Seguridad en Salud,Ley General de Protección Civil,TRUE
"La SEMARNAT controlará emisiones peligrosas durante emergencias químicas.",Medio_ambiente,respuesta,SEMARNAT,Ley General del Equilibrio Ecológico y la Protección al Ambiente,TRUE
"La SEP mantendrá programas de educación sanitaria para docentes.",Educacion,recursos_humanos,SEP,Ley General de Educación,TRUE
"El IMSS notificará al CNSS los casos graves de influenza.",Salud_humana,notificacion,IMSS,Ley del Seguro Social,TRUE
"La SSA coordinará medidas sanitarias con los gobiernos estatales.",Salud_humana,coordinacion,Secretaría de Salud,Ley General de Salud,TRUE
"El SHCP emitirá lineamientos financieros para la respuesta ante emergencias sanitarias.",Finanzas_publicas,legislacion_financiamiento,SHCP,Ley Federal de Presupuesto y Responsabilidad Hacendaria,TRUE
"La COFEPRIS certificará productos sanitizantes en emergencias.",Inocuidad_alimentaria,deteccion,COFEPRIS,Ley General de Salud,TRUE
"El Ejército y la Marina cooperarán en logística sanitaria internacional.",Defensa_seguridad,coordinacion,SEDENA,Ley de Seguridad Nacional,TRUE
